epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
83,392.165,0.67881,0.41978,0.97449,0.99665,1,0.995,0.86028,0.62364,0.31672,0.90566,0.00023525,0.00023525,0.00023525
84,396.709,0.64484,0.39876,0.97368,0.99377,1,0.995,0.84703,0.67112,0.32757,0.92766,0.000222875,0.000222875,0.000222875
85,401.293,0.65556,0.40265,0.96558,0.99822,1,0.995,0.86421,0.60935,0.31307,0.90592,0.0002105,0.0002105,0.0002105
86,405.895,0.64184,0.37805,0.94211,0.9983,0.9996,0.995,0.8666,0.59344,0.30648,0.9018,0.000198125,0.000198125,0.000198125
87,410.516,0.66387,0.40034,0.95927,0.99817,0.99989,0.995,0.8456,0.66026,0.32299,0.92578,0.00018575,0.00018575,0.00018575
88,415.13,0.6683,0.40405,0.96789,0.99894,1,0.995,0.87042,0.57885,0.30797,0.88454,0.000173375,0.000173375,0.000173375
89,419.784,0.64102,0.39123,0.96023,0.99922,1,0.995,0.87945,0.56083,0.30304,0.87852,0.000161,0.000161,0.000161
90,424.525,0.58695,0.38601,0.94632,0.99938,1,0.995,0.88074,0.55644,0.3029,0.87836,0.000148625,0.000148625,0.000148625
91,443.659,0.56556,0.38665,0.91494,0.99937,0.99954,0.995,0.88128,0.55658,0.30321,0.8775,0.00013625,0.00013625,0.00013625
92,448.453,0.56673,0.3645,0.91511,0.99822,1,0.995,0.88346,0.55044,0.30773,0.8753,0.000123875,0.000123875,0.000123875
93,453.124,0.55701,0.37149,0.8891,0.99819,1,0.995,0.88155,0.54392,0.30903,0.87301,0.0001115,0.0001115,0.0001115
94,457.641,0.55534,0.37133,0.88065,0.99831,1,0.995,0.8863,0.54225,0.30252,0.87252,9.9125e-05,9.9125e-05,9.9125e-05
95,462.139,0.51583,0.35292,0.88877,0.99851,1,0.995,0.88419,0.54705,0.30125,0.87524,8.675e-05,8.675e-05,8.675e-05
96,466.657,0.54206,0.35705,0.88396,0.99854,1,0.995,0.87334,0.56641,0.30204,0.88161,7.4375e-05,7.4375e-05,7.4375e-05
97,471.226,0.53604,0.35476,0.8959,0.9986,1,0.995,0.88172,0.55155,0.29732,0.87676,6.2e-05,6.2e-05,6.2e-05
98,475.744,0.5324,0.35506,0.88133,0.99864,1,0.995,0.88833,0.5302,0.28903,0.86997,4.9625e-05,4.9625e-05,4.9625e-05
99,480.253,0.52848,0.33962,0.89161,0.99866,1,0.995,0.89101,0.52503,0.28805,0.86794,3.725e-05,3.725e-05,3.725e-05
100,484.895,0.52852,0.34395,0.8924,0.99866,1,0.995,0.88941,0.52778,0.28888,0.86927,2.4875e-05,2.4875e-05,2.4875e-05
