epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
102,873.705,1.09892,0.62803,1.10731,0.98133,0.9697,0.98911,0.73888,0.98641,0.5242,1.04741,0.00041675,0.00041675,0.00041675
103,882.303,1.10329,0.64458,1.11881,0.97417,0.9744,0.98711,0.73391,0.98815,0.53872,1.05939,0.0004085,0.0004085,0.0004085
104,890.918,1.08261,0.63579,1.11547,0.97231,0.97563,0.98917,0.75546,0.93961,0.51736,1.04793,0.00040025,0.00040025,0.00040025
105,899.242,1.02281,0.61768,1.0872,0.96862,0.98573,0.99004,0.73936,0.99351,0.51741,1.07744,0.000392,0.000392,0.000392
106,907.726,1.05005,0.60426,1.09006,0.96296,0.98068,0.98876,0.72898,1.01552,0.51046,1.08915,0.00038375,0.00038375,0.00038375
107,916.152,1.03227,0.58109,1.06487,0.97619,0.98573,0.99035,0.74945,0.97059,0.50437,1.06163,0.0003755,0.0003755,0.0003755
108,924.496,1.0276,0.57941,1.07071,0.96547,0.98573,0.98968,0.75181,0.96249,0.49898,1.06274,0.00036725,0.00036725,0.00036725
109,932.785,1.007,0.60645,1.06362,0.97507,0.97123,0.99021,0.75142,0.94337,0.49265,1.04946,0.000359,0.000359,0.000359
110,941.115,0.9969,0.56672,1.0677,0.97251,0.98068,0.98896,0.76193,0.93198,0.48484,1.03829,0.00035075,0.00035075,0.00035075
111,949.483,0.98462,0.58066,1.05534,0.97855,0.98573,0.99062,0.76737,0.90401,0.47457,1.02453,0.0003425,0.0003425,0.0003425
112,957.765,1.00325,0.59119,1.05141,0.97615,0.98573,0.99029,0.7711,0.90422,0.48263,1.02958,0.00033425,0.00033425,0.00033425
113,966.075,0.95938,0.56804,1.05986,0.97893,0.98573,0.9908,0.78457,0.87431,0.47058,1.01748,0.000326,0.000326,0.000326
114,974.606,0.95314,0.57833,1.04178,0.98558,0.98485,0.99161,0.77788,0.87765,0.46592,1.00437,0.00031775,0.00031775,0.00031775
115,982.845,0.98473,0.58156,1.05863,0.9807,0.9821,0.99177,0.78307,0.86246,0.45389,0.99825,0.0003095,0.0003095,0.0003095
116,991.187,0.96658,0.57911,1.06329,0.97904,0.99011,0.99131,0.77255,0.87364,0.4636,1.00282,0.00030125,0.00030125,0.00030125
